2023-01-31_13:48:04; file; 31; 0; lines; 7
2023-01-31_13:48:04; file; 31; 0; basename; Modifiers.java
2023-01-31_13:48:04; file; 31; 0; size; 144
2023-01-31_13:48:04; file; 31; 0; abort; 1_0
2023-01-31_13:48:04; file; 32; 0; filename; sorald/target/test-classes/processor_test_files/S2057_SerialVersionUidCheck/NestedInNestedGuiClass.java
2023-01-31_13:48:04; file; 32; 0; lines; 17
2023-01-31_13:48:04; file; 32; 0; basename; NestedInNestedGuiClass.java
2023-01-31_13:48:04; file; 32; 0; size; 646
2023-01-31_13:48:04; file; 32; 0; abort; 1_0
2023-01-31_13:48:04; file; 33; 0; filename; sorald/target/test-classes/processor_test_files/S2057_SerialVersionUidCheck/UpperClass.java
2023-01-31_13:48:04; file; 33; 0; lines; 5
2023-01-31_13:48:04; file; 33; 0; basename; UpperClass.java
2023-01-31_13:48:04; file; 33; 0; size; 114
2023-01-31_13:48:04; file; 33; 0; abort; 1_0
2023-01-31_13:48:04; file; 34; 0; filename; sorald/target/test-classes/processor_test_files/S2057_SerialVersionUidCheck/CorrectPositionComment.java
2023-01-31_13:48:04; file; 34; 0; lines; 12
2023-01-31_13:48:04; file; 34; 0; basename; CorrectPositionComment.java
2023-01-31_13:48:04; file; 34; 0; size; 214
2023-01-31_13:48:04; file; 34; 0; abort; 1_0
2023-01-31_13:48:04; file; 35; 0; filename; sorald/target/test-classes/processor_test_files/S1481_UnusedLocalVariable/UnusedVariableInForLoopHeader.java
2023-01-31_13:48:04; file; 35; 0; lines; 12
2023-01-31_13:48:04; file; 35; 0; basename; UnusedVariableInForLoopHeader.java
2023-01-31_13:48:04; file; 35; 0; size; 361
2023-01-31_13:48:04; file; 35; 0; abort; 1_0
2023-01-31_13:48:04; file; 36; 0; filename; sorald/target/test-classes/processor_test_files/S2167_CompareToReturnValue/CompareToReturnValue.java
2023-01-31_13:48:04; file; 36; 0; lines; 40
2023-01-31_13:48:05; file; 36; 1; basename; CompareToReturnValue.java
2023-01-31_13:48:05; file; 36; 1; size; 853
2023-01-31_13:48:05; file; 36; 1; abort; 1_0
2023-01-31_13:48:05; file; 37; 0; filename; sorald/target/test-classes/processor_test_files/S3984_UnusedThrowable/UnusedThrowable.java
2023-01-31_13:48:05; file; 37; 0; lines; 18
2023-01-31_13:48:05; file; 37; 0; basename; UnusedThrowable.java
2023-01-31_13:48:05; file; 37; 0; size; 575
2023-01-31_13:48:05; file; 37; 0; abort; 1_0
2023-01-31_13:48:05; file; 38; 0; filename; sorald/target/test-classes/processor_test_files/S3984_UnusedThrowable/SingleUnusedThrowable.java
2023-01-31_13:48:05; file; 38; 0; lines; 9
2023-01-31_13:48:05; file; 38; 0; basename; SingleUnusedThrowable.java
2023-01-31_13:48:05; file; 38; 0; size; 191
2023-01-31_13:48:05; file; 38; 0; abort; 1_0
2023-01-31_13:48:05; file; 39; 0; filename; sorald/target/test-classes/processor_test_files/S4065_ThreadLocalWithInitial/ThreadLocalInitialWithExactlyOneReturnStatement.java
2023-01-31_13:48:05; file; 39; 0; lines; 13
2023-01-31_13:48:05; file; 39; 0; basename; ThreadLocalInitialWithExactlyOneReturnStatement.java
2023-01-31_13:48:05; file; 39; 0; size; 299
2023-01-31_13:48:05; file; 39; 0; abort; 1_0
2023-01-31_13:48:05; file; 40; 0; filename; sorald/target/test-classes/processor_test_files/S4065_ThreadLocalWithInitial/ThreadLocalInitialWithMultipleStatements.java
2023-01-31_13:48:05; file; 40; 0; lines; 14
2023-01-31_13:48:05; file; 40; 0; basename; ThreadLocalInitialWithMultipleStatements.java
2023-01-31_13:48:05; file; 40; 0; size; 319
2023-01-31_13:48:05; file; 40; 0; abort; 1_0
2023-01-31_13:48:05; file; 41; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/SonarFalseNegatives.java
2023-01-31_13:48:05; file; 41; 0; lines; 25
2023-01-31_13:48:05; file; 41; 0; basename; SonarFalseNegatives.java
2023-01-31_13:48:05; file; 41; 0; size; 653
2023-01-31_13:48:05; file; 41; 0; abort; 1_0
2023-01-31_13:48:05; file; 42; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/JointLocalVarDeclaration.java
2023-01-31_13:48:05; file; 42; 0; lines; 36
2023-01-31_13:48:05; file; 42; 0; basename; JointLocalVarDeclaration.java
2023-01-31_13:48:05; file; 42; 0; size; 1160
2023-01-31_13:48:05; file; 42; 0; abort; 1_0
