project,analyzer,D_TP,D_FP,D_FN,D_P,D_R,D_F1,D_SIZE,T_TP,T_FP,T_FN,T_P,T_R,T_F1,T_SIZE
spoon,cdxgen,9,0,13,100,40,57,22,14,0,18,100,43,60,32,
spoon,cyclonedx-maven-plugin,9,0,13,100,40,57,22,14,0,18,100,43,60,32,
spoon,depscan,9,0,13,100,40,57,22,14,0,18,100,43,60,32,
spoon,jbom,15,74,7,16,68,25,22,0,6,32,0,0,0,32,
spoon,openrewrite,9,0,13,100,40,57,22,14,1,18,93,43,58,32,
para,build-info-go,44,1,38,97,53,68,82,116,21,108,84,51,63,224,
para,cdxgen,1,2,81,33,1,1,82,171,27,53,86,76,80,224,
para,cyclonedx-maven-plugin,3,2,79,60,3,5,82,170,26,54,86,75,80,224,
para,depscan,3,2,79,60,3,5,82,169,26,55,86,75,80,224,
para,jbom,28,389,54,6,34,10,82,0,9,224,0,0,0,224,
para,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
couchdb-lucene,build-info-go,23,0,2,100,92,95,25,51,0,0,100,100,100,51,
couchdb-lucene,cdxgen,23,0,2,100,92,95,25,51,0,0,100,100,100,51,
couchdb-lucene,cyclonedx-maven-plugin,23,0,2,100,92,95,25,51,0,0,100,100,100,51,
couchdb-lucene,depscan,23,0,2,100,92,95,25,51,0,0,100,100,100,51,
couchdb-lucene,jbom,12,13,13,48,48,48,25,0,0,51,0,0,0,51,
couchdb-lucene,openrewrite,23,0,2,100,92,95,25,51,0,0,100,100,100,51,
jenkins,build-info-go,7,0,92,100,7,13,99,195,27,5,87,97,91,200,
jenkins,cdxgen,4,2,95,66,4,7,99,96,9,104,91,48,62,200,
jenkins,cyclonedx-maven-plugin,7,2,92,77,7,12,99,92,8,108,92,46,61,200,
jenkins,depscan,7,2,92,77,7,12,99,92,8,108,92,46,61,200,
jenkins,jbom,5,123,94,3,5,3,99,73,38,127,65,36,46,200,
jenkins,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javaparser,build-info-go,5,0,13,100,27,42,18,7,0,26,100,21,34,33,
javaparser,cdxgen,0,6,18,0,0,0,18,10,4,23,71,30,42,33,
javaparser,cyclonedx-maven-plugin,4,6,14,40,22,28,18,9,1,24,90,27,41,33,
javaparser,depscan,4,6,14,40,22,28,18,9,1,24,90,27,41,33,
javaparser,jbom,6,19,12,24,33,27,18,0,0,33,0,0,0,33,
javaparser,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
launch4j-maven-plugin,build-info-go,12,0,0,100,100,100,12,50,0,0,100,100,100,50,
launch4j-maven-plugin,cdxgen,9,0,3,100,75,85,12,43,0,7,100,86,92,50,
launch4j-maven-plugin,cyclonedx-maven-plugin,9,0,3,100,75,85,12,44,0,6,100,88,93,50,
launch4j-maven-plugin,depscan,9,0,3,100,75,85,12,43,0,7,100,86,92,50,
launch4j-maven-plugin,jbom,11,1,1,91,91,91,12,0,0,50,0,0,0,50,
launch4j-maven-plugin,openrewrite,5,12,7,29,41,33,12,21,22,29,48,42,44,50,
subzero,build-info-go,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subzero,cdxgen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subzero,cyclonedx-maven-plugin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subzero,depscan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subzero,jbom,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subzero,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-configuration,build-info-go,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-configuration,cdxgen,15,0,18,100,45,62,33,7,0,14,100,33,49,21,
commons-configuration,cyclonedx-maven-plugin,15,0,18,100,45,62,33,7,0,14,100,33,49,21,
commons-configuration,depscan,15,0,18,100,45,62,33,7,0,14,100,33,49,21,
commons-configuration,jbom,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-configuration,openrewrite,15,0,18,100,45,62,33,7,0,14,100,33,49,21,
jHiccup,build-info-go,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jHiccup,cdxgen,1,0,1,100,50,66,2,0,0,1,0,0,0,1,
jHiccup,cyclonedx-maven-plugin,1,0,1,100,50,66,2,0,0,1,0,0,0,1,
jHiccup,depscan,1,0,1,100,50,66,2,0,0,1,0,0,0,1,
jHiccup,jbom,2,0,0,100,100,100,2,0,0,1,0,0,0,1,
jHiccup,openrewrite,1,0,1,100,50,66,2,0,0,1,0,0,0,1,
